Date,Clicks,Impressions,CTR,Position
2026-07-28,0,26,0%,7
2026-07-29,0,13,0%,4.5
2026-07-30,3,22,13.64%,6.6
2026-07-31,0,13,0%,8.7
2026-08-01,0,21,0%,9.2
2026-08-02,0,13,0%,5.8
2026-08-03,1,35,2.86%,6.2
2026-08-04,0,22,0%,7
2026-08-05,0,27,0%,5.6
2026-08-06,0,22,0%,4.8
2026-08-07,0,21,0%,4.1
2026-08-08,0,13,0%,7.8
2026-08-09,0,22,0%,8.4
2026-08-10,0,24,0%,7.2
2026-08-11,2,15,13.33%,4.7
2026-08-12,0,17,0%,3.6
2026-08-13,0,18,0%,5.1
2026-08-14,0,21,0%,5.1
2026-08-15,1,15,6.67%,4.7
2026-08-16,0,26,0%,5.5
2026-08-17,0,18,0%,9.7
2026-08-18,3,57,5.26%,4.6
2026-08-19,0,27,0%,8.5
2026-08-20,1,23,4.35%,5.8
2026-08-21,0,28,0%,5.2
2026-08-22,0,20,0%,3.5
2026-08-23,2,20,10%,9.6
2026-08-24,0,23,0%,5.2
