Top queries,Clicks,Impressions,CTR,Position
dr nihar modi,5,125,4%,6.58
orthopedic doctor in santacruz west,1,1,100%,1
nihar modi,0,34,0%,3.56
orthopedic doctor near me,0,20,0%,5.05
nirav modi,0,17,0%,8.24
bone doctor near me,0,5,0%,1
dr modi orthopedic,0,5,0%,1
orthopedic doctor bandra,0,5,0%,19
orthopaedic doctors near me,0,4,0%,1.25
dr pereira orthopedic surgeon,0,3,0%,1
dr nihar,0,3,0%,1.33
orthopaedic,0,3,0%,2
nihar tel,0,3,0%,4.33
ortho doctor near me,0,3,0%,5
orthopedic doctor for hands near me,0,3,0%,6
dr modi,0,2,0%,1
orthopedic near me,0,2,0%,1
ortho near me,0,2,0%,2
nihar,0,2,0%,3
orthopedic doctor in santacruz east,0,2,0%,5.5
orthopedic,0,2,0%,6.5
bone doctor,0,2,0%,7
orthopedic doctor santacruz west,0,2,0%,11
orthopedic doctor santacruz east,0,2,0%,13.5
shoulder dislocation treatment in mumbai,0,2,0%,21
near orthopedic doctor,0,2,0%,36.5
dr modi surgeon,0,1,0%,1
dr orthopedic,0,1,0%,1
haddi doctor near me,0,1,0%,1
haddi wale doctor near me,0,1,0%,1
modi orthopedic,0,1,0%,1
near bone doctor,0,1,0%,1
nihar desai,0,1,0%,1
orthopaedics near me,0,1,0%,1
orthopedic doctor in santacruz,0,1,0%,1
orthopedic doctor near me with fees,0,1,0%,1
sports orthopedic doctor near me,0,1,0%,1
bone doctor what we call,0,1,0%,2
elbow specialist near me,0,1,0%,2
good orthopedic doctor near me,0,1,0%,2
nihar nihar,0,1,0%,2
sports orthopedic doctor,0,1,0%,2
dr nihar desai,0,1,0%,3
neehar modi,0,1,0%,3
nilesh modi,0,1,0%,3
orthopedic doctor near me within 800m,0,1,0%,3
md in orthopedics,0,1,0%,4
hand and wrist surgeon near me,0,1,0%,5
shoulder arthroscopy,0,1,0%,5
child orthopedic doctor near me,0,1,0%,7
modi hospital,0,1,0%,7
nirab modi,0,1,0%,7
wrist dislocation,0,1,0%,7
dr orthopedic near me,0,1,0%,8
orthopedic doctor clinic near me,0,1,0%,8
best rated orthopedic doctor near me,0,1,0%,10
foot orthopedic doctor near me,0,1,0%,11
female orthopedic doctor near me,0,1,0%,12
hand and wrist specialist near me,0,1,0%,12
doctor near me,0,1,0%,13
shoulder pain doctor specialist,0,1,0%,13
orthopedic doctor consultation,0,1,0%,14
orthopedic mumbai,0,1,0%,20
orthopedic doctor in bandra,0,1,0%,21
orthopedic hospital near me,0,1,0%,21
general physician near me open now,0,1,0%,28
ortho clinic near me,0,1,0%,38
orthopedic surgeon in dadar,0,1,0%,69
